Court,Year,Metric,Value,Unit
Court of Appeal,2025,Filings,82,
Court of Appeal,2025,Disposals,84,
Court of Appeal,2025,ClearanceRate,102,%
Court of Appeal,2025,Pending,22,
Court of Appeal,2025,PDR,0.28,
Court of Appeal,2025,PendingAge,0,%
Court of Appeal,2025,TimelinessCriminal,100,days
Court of Appeal,2025,TimelinessCivil,150,days
Court of Appeal,2025,ReservedJudgments,0,
Supreme Court,2025,Filings,900,
Supreme Court,2025,Disposals,850,
Supreme Court,2025,ClearanceRate,94,%
Supreme Court,2025,Pending,950,
Supreme Court,2025,PDR,1.1,
Supreme Court,2025,PendingAge,24,%
Supreme Court,2025,TimelinessCriminal,195,days
Supreme Court,2025,TimelinessCivil,620,days
Supreme Court,2025,AttendanceCriminal,4,%
Supreme Court,2025,AttendanceCivil,5.5,%
Supreme Court,2025,AttendanceEnforcement,8.3,%
Supreme Court,2025,Productivity,118,
Supreme Court,2025,ReservedJudgments,46,
Magistrates Court,2025,Filings,2450,
Magistrates Court,2025,Disposals,2180,
Magistrates Court,2025,ClearanceRate,89,%
Magistrates Court,2025,Pending,1350,
Magistrates Court,2025,PDR,0.68,
Magistrates Court,2025,PendingAge,23,%
Magistrates Court,2025,TimelinessCriminal,245,days
Magistrates Court,2025,TimelinessCivil,295,days
Magistrates Court,2025,AttendanceCriminal,3.1,%
Magistrates Court,2025,AttendanceCivil,5.7,%
Magistrates Court,2025,AttendanceEnforcement,9.6,%
Magistrates Court,2025,Productivity,300,
Magistrates Court,2025,ReservedJudgments,13,
Island Court,2025,Filings,395,
Island Court,2025,Disposals,400,
Island Court,2025,ClearanceRate,101,%
Island Court,2025,Pending,680,
Island Court,2025,PDR,1.75,
Island Court,2025,PendingAge,60,%
Island Court,2025,TimelinessCriminal,395,days
Island Court,2025,TimelinessCivil,495,days
Supreme Court,2025,Gender_Male,59,%
Supreme Court,2025,Gender_Female,41,%
Magistrates Court,2025,Gender_Male,64,%
Magistrates Court,2025,Gender_Female,36,%
Court of Appeal,2025,Civil_Guilty,31,%
Court of Appeal,2025,Civil_NotGuilty,0,%
Court of Appeal,2025,Civil_Withdrawn,9,%
Court of Appeal,2025,Civil_Committed,0,%
Court of Appeal,2025,Civil_Dismissed,60,%
Supreme Court,2025,Criminal_Guilty,91,%
Supreme Court,2025,Criminal_NotGuilty,5,%
Supreme Court,2025,Criminal_Withdrawn,4,%
Supreme Court,2025,Criminal_Committed,0,%
Supreme Court,2025,Criminal_Dismissed,0,%
Magistrates Court,2025,Criminal_Guilty,72,%
Magistrates Court,2025,Criminal_NotGuilty,1,%
Magistrates Court,2025,Criminal_Withdrawn,19,%
Magistrates Court,2025,Criminal_Committed,0,%
