Court,Year,Metric,Value,Unit
Court of Appeal,2021,Filings,77,
Court of Appeal,2021,Disposals,75,
Court of Appeal,2021,ClearanceRate,97,%
Court of Appeal,2021,Pending,25,
Court of Appeal,2021,PDR,0.32,
Court of Appeal,2021,PendingAge,0,days
Court of Appeal,2021,TimelinessCriminal,100,days
Court of Appeal,2021,TimelinessCivil,150,days
Court of Appeal,2021,ReservedJudgments,0,
Supreme Court,2021,Filings,800,
Supreme Court,2021,Disposals,790,
Supreme Court,2021,ClearanceRate,99,%
Supreme Court,2021,Pending,900,
Supreme Court,2021,PDR,1.1,
Supreme Court,2021,PendingAge,22,days
Supreme Court,2021,TimelinessCriminal,188,days
Supreme Court,2021,TimelinessCivil,470,days
Supreme Court,2021,AttendanceCriminal,4,%
Supreme Court,2021,AttendanceCivil,5.5,%
Supreme Court,2021,AttendanceEnforcement,8,%
Supreme Court,2021,Productivity,110,
Supreme Court,2021,ReservedJudgments,54,
Magistrates Court,2021,Filings,2000,
Magistrates Court,2021,Disposals,1900,
Magistrates Court,2021,ClearanceRate,95,%
Magistrates Court,2021,Pending,1250,
Magistrates Court,2021,PDR,0.66,
Magistrates Court,2021,PendingAge,21,days
Magistrates Court,2021,TimelinessCriminal,135,days
Magistrates Court,2021,TimelinessCivil,270,days
Magistrates Court,2021,AttendanceCriminal,3.1,%
Magistrates Court,2021,AttendanceCivil,5.7,%
Magistrates Court,2021,AttendanceEnforcement,9,%
Magistrates Court,2021,Productivity,285,
Magistrates Court,2021,ReservedJudgments,17,
Island Court,2021,Filings,430,
Island Court,2021,Disposals,440,
Island Court,2021,ClearanceRate,102,%
Island Court,2021,Pending,610,
Island Court,2021,PDR,1.6,
Island Court,2021,PendingAge,56,days
Island Court,2021,TimelinessCriminal,340,days
Island Court,2021,TimelinessCivil,440,days
Supreme Court,2021,Gender_Male,63,%
Supreme Court,2021,Gender_Female,37,%
Magistrates Court,2021,Gender_Male,67,%
Magistrates Court,2021,Gender_Female,33,%
Court of Appeal,2021,Civil_Guilty,27,%
Court of Appeal,2021,Civil_NotGuilty,0,%
Court of Appeal,2021,Civil_Withdrawn,13,%
Court of Appeal,2021,Civil_Committed,0,%
Court of Appeal,2021,Civil_Dismissed,60,%
Supreme Court,2021,Criminal_Guilty,86,%
Supreme Court,2021,Criminal_NotGuilty,7,%
Supreme Court,2021,Criminal_Withdrawn,7,%
Supreme Court,2021,Criminal_Committed,0,%
Supreme Court,2021,Criminal_Dismissed,0,%
Magistrates Court,2021,Criminal_Guilty,68,%
Magistrates Court,2021,Criminal_NotGuilty,1,%
Magistrates Court,2021,Criminal_Withdrawn,24,%
Magistrates Court,2021,Criminal_Committed,0,%
Magistrates Court,2021,Criminal_Dismissed,7,%
Magistrates Court,2021,PI_Guilty,0,%
Magistrates Court,2021,PI_NotGuilty,0,%
Magistrates Court,2021,PI_Withdrawn,18,%
Magistrates Court,2021,PI_Committed,78,%
Magistrates Court,2021,PI_Dismissed,4,%
